ledger_id,account_id,execution_id,amount,ccy,reason_code,value_dt,created_at
1,39,1,7013.76,USD,TRADE,2026-08-21,2026-08-21 09:15:07.332000
2,157,2,-4551.74,USD,TRADE,2026-08-20,2026-08-20 14:13:16.501000
3,157,3,-4555.74,USD,TRADE,2026-08-20,2026-08-20 14:13:16.816000
4,19,4,-87863.0,USD,TRADE,2026-08-21,2026-08-21 15:50:40.081000
5,153,5,-18883.0,USD,TRADE,2026-08-21,2026-08-21 12:07:29.772000
6,7,6,-8296.49,USD,TRADE,2026-08-20,2026-08-20 14:53:55.205000
7,7,7,-8293.49,USD,TRADE,2026-08-20,2026-08-20 14:53:55.875000
8,121,8,-12857.74,USD,TRADE,2026-08-25,2026-08-25 11:20:42.485000
9,121,9,-12858.24,USD,TRADE,2026-08-25,2026-08-25 11:20:42.836000
10,132,10,-28734.99,USD,TRADE,2026-08-27,2026-08-27 12:26:03.154000
11,125,11,-9148.49,USD,TRADE,2026-08-17,2026-08-17 14:38:51.140000
12,128,12,67661.25,USD,TRADE,2026-08-27,2026-08-27 14:17:26.091000
13,128,13,67751.25,USD,TRADE,2026-08-27,2026-08-27 14:17:26.459000
14,69,14,9475.51,USD,TRADE,2026-08-21,2026-08-21 14:19:53.349000
15,147,15,-8523.99,USD,TRADE,2026-08-20,2026-08-20 15:49:26.175000
16,147,16,-8523.99,USD,TRADE,2026-08-20,2026-08-20 15:49:26.324000
17,85,17,1874.21,USD,TRADE,2026-08-26,2026-08-26 09:33:58.366000
18,21,18,1561.41,USD,TRADE,2026-08-27,2026-08-27 12:20:40.464000
19,114,19,-50534.99,USD,TRADE,2026-08-21,2026-08-21 09:02:20.194000
20,140,20,-103141.0,USD,TRADE,2026-08-18,2026-08-18 12:22:37.262000
21,148,21,8811.0,USD,TRADE,2026-08-21,2026-08-21 09:53:42.313000
22,148,22,8811.33,USD,TRADE,2026-08-21,2026-08-21 09:53:42.954000
23,148,23,9067.15,USD,TRADE,2026-08-21,2026-08-21 09:53:43.625000
24,36,24,-28154.49,USD,TRADE,2026-08-17,2026-08-17 11:50:28.155000
25,136,25,20811.01,USD,TRADE,2026-08-21,2026-08-21 15:10:16.712000
26,143,26,-6226.23,USD,TRADE,2026-08-18,2026-08-18 15:25:00.130000
