execution_id,order_id,account_id,security_id,fill_qty,fill_px,commission,venue,fill_ts
1,1,39,19,75,93.53,0.99,NYSE,2026-08-21 09:15:07.332000
2,2,157,4,25,182.03,0.99,NASDAQ,2026-08-20 14:13:16.501000
3,2,157,4,25,182.19,0.99,BATS,2026-08-20 14:13:16.816000
4,3,19,8,200,439.31,1.0,ARCA,2026-08-21 15:50:40.081000
5,4,153,19,200,94.41,1.0,ARCA,2026-08-21 12:07:29.772000
6,5,7,3,50,165.91,0.99,BATS,2026-08-20 14:53:55.205000
7,5,7,3,50,165.85,0.99,NYSE,2026-08-20 14:53:55.875000
8,6,121,12,25,514.27,0.99,ARCA,2026-08-25 11:20:42.485000
9,6,121,12,25,514.29,0.99,BATS,2026-08-25 11:20:42.836000
10,7,132,1,150,191.56,0.99,BATS,2026-08-27 12:26:03.154000
11,8,125,4,50,182.95,0.99,NASDAQ,2026-08-17 14:38:51.140000
12,9,128,10,250,270.65,1.25,BATS,2026-08-27 14:17:26.091000
13,9,128,10,250,271.01,1.25,DARK,2026-08-27 14:17:26.459000
14,10,69,1,50,189.53,0.99,NASDAQ,2026-08-21 14:19:53.349000
15,11,147,13,75,113.64,0.99,NYSE,2026-08-20 15:49:26.175000
16,11,147,13,75,113.64,0.99,DARK,2026-08-20 15:49:26.324000
17,12,85,4,10,187.52,0.99,BATS,2026-08-26 09:33:58.366000
18,13,21,11,10,156.24,0.99,NYSE,2026-08-27 12:20:40.464000
19,14,114,6,100,505.34,0.99,DARK,2026-08-21 09:02:20.194000
20,16,140,6,200,515.7,1.0,ARCA,2026-08-18 12:22:37.262000
21,17,148,10,33,267.03,0.99,NASDAQ,2026-08-21 09:53:42.313000
22,17,148,10,33,267.04,0.99,NASDAQ,2026-08-21 09:53:42.954000
23,17,148,10,34,266.71,0.99,ARCA,2026-08-21 09:53:43.625000
24,18,36,4,150,187.69,0.99,ARCA,2026-08-17 11:50:28.155000
25,19,136,17,100,208.12,0.99,BATS,2026-08-21 15:10:16.712000
26,20,143,12,12,518.77,0.99,BATS,2026-08-18 15:25:00.130000
27,20,143,12,13,518.71,0.99,DARK,2026-08-18 15:25:00.175000
28,21,84,20,100,77.65,0.99,DARK,2026-08-20 14:04:40.119000
29,22,35,13,25,114.56,0.99,BATS,2026-08-26 11:42:47.726000
30,22,35,13,25,114.69,0.99,ARCA,2026-08-26 11:42:48.201000
31,23,26,12,100,510.46,0.99,NYSE,2026-08-27 14:22:03.677000
32,24,13,11,12,158.16,0.99,DARK,2026-08-20 10:50:36.171000
33,24,13,11,13,158.0,0.99,NASDAQ,2026-08-20 10:50:36.193000
34,25,34,18,25,208.58,0.99,BATS,2026-08-21 15:11:07.073000
35,25,34,18,25,208.58,0.99,NYSE,2026-08-21 15:11:07.631000
36,26,122,15,75,544.32,0.99,NYSE,2026-08-24 13:37:06.489000
37,27,16,16,500,438.55,2.5,ARCA,2026-08-25 12:43:06.668000
38,28,98,20,25,78.34,0.99,NASDAQ,2026-08-27 11:29:32.460000
39,29,106,11,75,154.42,0.99,NYSE,2026-08-26 12:26:46.113000
40,29,106,11,75,154.2,0.99,ARCA,2026-08-26 12:26:46.575000
41,30,34,18,8,213.89,0.99,ARCA,2026-08-17 13:35:35.314000
42,30,34,18,8,213.88,0.99,NASDAQ,2026-08-17 13:35:35.440000
43,30,34,18,9,213.92,0.99,NASDAQ,2026-08-17 13:35:35.618000
