order_id,account_id,security_id,entered_by,side,order_type,ordered_qty,limit_px,tif,status,reject_reason,order_ts,last_update_ts
1,39,19,6,S,MKT,75,93.52,DAY,FILLED,,2026-08-21 09:15:07,2026-08-21 09:16:02
2,157,4,19,B,MKT,50,182.11,DAY,FILLED,,2026-08-20 14:13:16,2026-08-20 14:14:33
3,19,8,16,B,LMT,200,439.6,DAY,FILLED,,2026-08-21 15:50:40,2026-08-21 15:50:50
4,153,19,16,B,LMT,200,94.44,DAY,FILLED,,2026-08-21 12:07:29,2026-08-21 12:08:25
5,7,3,7,B,LMT,100,165.75,DAY,FILLED,,2026-08-20 14:53:55,2026-08-20 14:54:31
6,121,12,17,B,MKT,50,514.69,DAY,FILLED,,2026-08-25 11:20:42,2026-08-25 11:20:47
7,132,1,25,B,LMT,150,191.4,DAY,FILLED,,2026-08-27 12:26:03,2026-08-27 12:27:14
8,125,4,20,B,LMT,50,182.9,DAY,FILLED,,2026-08-17 14:38:51,2026-08-17 14:39:51
9,128,10,22,S,MKT,500,270.77,DAY,FILLED,,2026-08-27 14:17:26,2026-08-27 14:17:44
10,69,1,3,S,LMT,50,189.39,DAY,FILLED,,2026-08-21 14:19:53,2026-08-21 14:20:52
11,147,13,12,B,MKT,150,113.64,DAY,FILLED,,2026-08-20 15:49:26,2026-08-20 15:50:50
12,85,4,15,S,LMT,10,187.47,DAY,FILLED,,2026-08-26 09:33:58,2026-08-26 09:34:32
13,21,11,17,S,LMT,10,156.09,DAY,FILLED,,2026-08-27 12:20:40,2026-08-27 12:20:52
14,114,6,12,B,MKT,100,505.67,DAY,FILLED,,2026-08-21 09:02:20,2026-08-21 09:02:44
15,98,20,25,B,LMT,75,76.82,DAY,REJ,RISK_LIMIT,2026-08-20 12:58:37,2026-08-20 12:59:14
16,140,6,6,B,LMT,200,515.82,DAY,FILLED,,2026-08-18 12:22:37,2026-08-18 12:22:51
17,148,10,12,S,MKT,100,266.88,DAY,FILLED,,2026-08-21 09:53:42,2026-08-21 09:54:46
18,36,4,3,B,LMT,150,187.58,DAY,FILLED,,2026-08-17 11:50:28,2026-08-17 11:50:54
19,136,17,3,S,LMT,100,208.03,DAY,FILLED,,2026-08-21 15:10:16,2026-08-21 15:10:45
20,143,12,9,B,MKT,25,518.59,DAY,FILLED,,2026-08-18 15:25:00,2026-08-18 15:25:48
21,84,20,14,S,LMT,100,77.69,DAY,FILLED,,2026-08-20 14:04:40,2026-08-20 14:04:55
