position_id,account_id,security_id,qty,avg_cost,last_px,updated_at
1,39,19,575.0,91.467391,92,2026-08-28 16:00:00
2,157,4,410.0,179.876878,185,2026-08-28 16:00:00
3,19,8,390.0,449.421385,450,2026-08-28 16:00:00
4,153,19,550.0,90.697273,92,2026-08-28 16:00:00
5,7,3,310.0,162.080806,165,2026-08-28 16:00:00
6,121,12,150.0,515.408333,520,2026-08-28 16:00:00
7,132,1,1395.0,187.936387,190,2026-08-28 16:00:00
8,125,4,835.0,182.612036,185,2026-08-28 16:00:00
9,128,10,-475.0,270.645368,275,2026-08-28 16:00:00
10,69,1,50.0,213.2664,190,2026-08-28 16:00:00
11,147,13,-315.0,107.71746,112,2026-08-28 16:00:00
12,85,4,125.0,185.5208,185,2026-08-28 16:00:00
13,21,11,300.0,158.855433,155,2026-08-28 16:00:00
14,114,6,760.0,506.074158,510,2026-08-28 16:00:00
15,140,6,50.0,531.8594,510,2026-08-28 16:00:00
16,148,10,615.0,283.354959,275,2026-08-28 16:00:00
17,36,4,985.0,182.665523,185,2026-08-28 16:00:00
18,136,17,100.0,198.4925,205,2026-08-28 16:00:00
19,143,12,560.0,524.808982,520,2026-08-28 16:00:00
20,84,20,-290.0,80.196345,77,2026-08-28 16:00:00
21,35,13,550.0,112.723327,112,2026-08-28 16:00:00
22,26,12,215.0,535.925674,520,2026-08-28 16:00:00
23,13,11,565.0,158.113487,155,2026-08-28 16:00:00
24,34,18,1175.0,215.9924,215,2026-08-28 16:00:00
25,122,15,200.0,534.52125,530,2026-08-28 16:00:00
26,16,16,-475.0,441.122589,450,2026-08-28 16:00:00
27,98,20,40.0,78.8275,77,2026-08-28 16:00:00
28,106,11,700.0,152.8055,155,2026-08-28 16:00:00
29,28,12,-100.0,508.075,520,2026-08-28 16:00:00
30,87,12,443.0,531.313409,520,2026-08-28 16:00:00
31,95,10,560.0,268.638929,275,2026-08-28 16:00:00
32,36,9,650.0,96.604385,97,2026-08-28 16:00:00
33,112,1,-100.0,188.8525,190,2026-08-28 16:00:00
34,23,14,615.0,151.318797,155,2026-08-28 16:00:00
35,131,7,375.0,194.403147,198,2026-08-28 16:00:00
36,119,19,320.0,90.275312,92,2026-08-28 16:00:00
37,80,15,225.0,537.270089,530,2026-08-28 16:00:00
38,116,4,205.0,182.718146,185,2026-08-28 16:00:00
39,105,11,-50.0,175.3906,155,2026-08-28 16:00:00
40,80,13,975.0,112.348123,112,2026-08-28 16:00:00
41,131,12,1810.0,518.60663,520,2026-08-28 16:00:00
42,135,2,35.0,440.349714,420,2026-08-28 16:00:00
43,121,7,-290.0,198.349414,198,2026-08-28 16:00:00
44,124,12,505.0,506.23804,520,2026-08-28 16:00:00
45,7,14,1285.0,155.646716,155,2026-08-28 16:00:00
46,10,10,179.0,261.440223,275,2026-08-28 16:00:00
47,29,10,350.0,274.400714,275,2026-08-28 16:00:00
48,75,14,95.0,151.002737,155,2026-08-28 16:00:00
49,142,1,600.0,193.339967,190,2026-08-28 16:00:00
50,86,5,515.0,903.574913,880,2026-08-28 16:00:00
51,52,2,-590.0,419.955932,420,2026-08-28 16:00:00
52,99,11,960.0,152.24625,155,2026-08-28 16:00:00
53,115,20,1350.0,76.678659,77,2026-08-28 16:00:00
54,113,2,975.0,419.73401,420,2026-08-28 16:00:00
55,81,9,875.0,96.980126,97,2026-08-28 16:00:00
56,116,6,-575.0,486.161304,510,2026-08-28 16:00:00
57,131,8,1250.0,447.815904,450,2026-08-28 16:00:00
58,135,14,-225.0,152.813333,155,2026-08-28 16:00:00
59,111,17,125.0,205.16,205,2026-08-28 16:00:00
60,71,5,-65.0,331.401231,880,2026-08-28 16:00:00
61,107,20,525.0,75.441562,77,2026-08-28 16:00:00
62,89,13,140.0,110.273571,112,2026-08-28 16:00:00
63,64,6,1385.0,506.69652,510,2026-08-28 16:00:00
64,56,19,-325.0,88.768462,92,2026-08-28 16:00:00
65,14,19,525.0,89.428286,92,2026-08-28 16:00:00
66,101,12,185.0,521.089027,520,2026-08-28 16:00:00
67,156,17,190.0,208.138684,205,2026-08-28 16:00:00
68,95,11,785.0,152.800127,155,2026-08-28 16:00:00
69,38,8,-370.0,452.015757,450,2026-08-28 16:00:00
70,36,17,1425.0,205.102779,205,2026-08-28 16:00:00
71,157,16,485.0,448.900268,450,2026-08-28 16:00:00
72,75,2,100.0,440.2113,420,2026-08-28 16:00:00
73,151,8,-500.0,450.7697,450,2026-08-28 16:00:00
74,105,16,235.0,448.290766,450,2026-08-28 16:00:00
75,45,14,25.0,146.8996,155,2026-08-28 16:00:00
76,29,11,575.0,156.953478,155,2026-08-28 16:00:00
77,115,9,610.0,98.76118,97,2026-08-28 16:00:00
78,95,20,490.0,80.048959,77,2026-08-28 16:00:00
79,135,15,26.0,574.36,530,2026-08-28 16:00:00
80,117,5,575.0,886.59913,880,2026-08-28 16:00:00
81,89,3,710.0,161.704789,165,2026-08-28 16:00:00
82,115,13,-50.0,91.5932,112,2026-08-28 16:00:00
83,71,7,780.0,197.652051,198,2026-08-28 16:00:00
84,113,8,-205.0,440.894634,450,2026-08-28 16:00:00
85,61,10,-100.0,271.4,275,2026-08-28 16:00:00
86,135,11,-25.0,145.57,155,2026-08-28 16:00:00
87,106,14,-625.0,153.919856,155,2026-08-28 16:00:00
88,155,2,1100.0,413.870345,420,2026-08-28 16:00:00
89,83,10,160.0,287.532,275,2026-08-28 16:00:00
90,141,11,-10.0,115.945,155,2026-08-28 16:00:00
91,13,1,45.0,191.370222,190,2026-08-28 16:00:00
92,111,6,435.0,510.765885,510,2026-08-28 16:00:00
93,58,10,740.0,275.392973,275,2026-08-28 16:00:00
94,85,19,125.0,94.16136,92,2026-08-28 16:00:00
95,5,7,575.0,201.441617,198,2026-08-28 16:00:00
96,89,2,-675.0,419.638148,420,2026-08-28 16:00:00
97,97,14,85.0,147.333059,155,2026-08-28 16:00:00
98,100,11,585.0,154.101863,155,2026-08-28 16:00:00
99,44,5,650.0,889.670769,880,2026-08-28 16:00:00
100,153,20,145.0,79.882897,77,2026-08-28 16:00:00
101,35,10,650.0,278.454615,275,2026-08-28 16:00:00
102,97,9,1175.0,98.811523,97,2026-08-28 16:00:00
103,78,8,1291.0,464.030217,450,2026-08-28 16:00:00
104,43,20,-100.0,78.265,77,2026-08-28 16:00:00
105,57,15,800.0,524.678775,530,2026-08-28 16:00:00
106,88,15,25.0,607.7156,530,2026-08-28 16:00:00
107,133,6,-165.0,469.271333,510,2026-08-28 16:00:00
108,116,19,225.0,93.131644,92,2026-08-28 16:00:00
109,136,11,60.0,143.283,155,2026-08-28 16:00:00
110,81,4,860.0,189.213512,185,2026-08-28 16:00:00
111,143,6,-490.0,498.245143,510,2026-08-28 16:00:00
112,43,3,825.0,165.345152,165,2026-08-28 16:00:00
113,30,9,600.0,97.415,97,2026-08-28 16:00:00
114,110,6,335.0,503.542776,510,2026-08-28 16:00:00
115,25,5,-550.0,868.589,880,2026-08-28 16:00:00
116,20,3,1250.0,165.922376,165,2026-08-28 16:00:00
117,17,18,660.0,212.486455,215,2026-08-28 16:00:00
118,113,15,185.0,523.398649,530,2026-08-28 16:00:00
119,109,5,200.0,881.9501,880,2026-08-28 16:00:00
120,145,1,360.0,191.366806,190,2026-08-28 16:00:00
121,151,13,675.0,111.060074,112,2026-08-28 16:00:00
122,53,17,485.0,205.924247,205,2026-08-28 16:00:00
