security_id,exchange_id,ticker,isin,security_name,asset_class
1,2,AAPL,US1000000001,Apple Inc,EQUITY
2,2,MSFT,US1000000002,Microsoft Corp,EQUITY
3,2,GOOGL,US1000000003,Alphabet Inc,EQUITY
4,2,AMZN,US1000000004,Amazon.com Inc,EQUITY
5,2,NVDA,US1000000005,NVIDIA Corp,EQUITY
6,2,META,US1000000006,Meta Platforms,EQUITY
7,1,JPM,US1000000007,JPMorgan Chase,EQUITY
8,1,GS,US1000000008,Goldman Sachs,EQUITY
9,1,MS,US1000000009,Morgan Stanley,EQUITY
10,1,V,US1000000010,Visa Inc,EQUITY
11,1,JNJ,US1000000011,Johnson & Johnson,EQUITY
12,1,UNH,US1000000012,UnitedHealth,EQUITY
13,1,XOM,US1000000013,Exxon Mobil,EQUITY
14,1,CVX,US1000000014,Chevron,EQUITY
15,1,SPY,US1000000015,SPDR S&P 500 ETF,ETF
16,2,QQQ,US1000000016,Invesco QQQ,ETF
17,1,IWM,US1000000017,iShares Russell 2000,ETF
18,1,GLD,US1000000018,SPDR Gold Shares,ETF
19,1,TLT,US1000000019,iShares 20+ Year Treasury,ETF
20,1,HYG,US1000000020,iShares High Yield Corp,ETF
